rewards,policy_ddpg_loss,steps,beta,policy_ppo_loss,entropy,kl,critic_loss,value_func_loss
2450.5975293243987,0.0030882773,793.8,0.6666666666666666,-0.0047091274,2.2569745,0.001257553,8.148982e-05,0.02438815878335761
2591.1449776401773,0.0033203203,859.35,0.6666666666666666,-0.006409354,2.2474737,0.0028391273,8.055854e-05,0.01479282128230582
2635.69136627289,0.0033882037,856.25,0.6666666666666666,-0.0061205556,2.240935,0.0021457502,8.022745e-05,0.025869179559512984
2470.3137156383805,0.0033351788,809.1,0.6666666666666666,-0.00664923,2.2403827,0.0029526711,7.918218e-05,0.019500752436826734
2375.28974631695,0.0032370274,755.25,0.6666666666666666,-0.008179953,2.2331076,0.003973165,7.732825e-05,0.027990795219710107
2565.0582543076357,0.0030862049,845.2,0.6666666666666666,-0.0060898103,2.2253964,0.0029856826,7.778465e-05,0.021632980007841463
2871.766841675306,0.003238807,944.2,1.0,-0.009092888,2.2168052,0.006678476,7.733106e-05,0.015615288641830137
2643.363516354814,0.0031474729,838.45,1.0,-0.0056603225,2.2074172,0.0016281388,7.6845405e-05,0.020615659267328335
2750.5379226304894,0.0031991315,872.7,1.0,-0.0057194177,2.1987824,0.0016769737,7.513845e-05,0.02064954760149901
2755.656995740541,0.0037199922,869.85,1.0,-0.0059943907,2.19283,0.0021290982,7.77356e-05,0.020729327512514488
2759.1909472646685,0.0031496643,867.6,1.0,-0.006532766,2.1925182,0.002895251,7.477035e-05,0.020149548512587778
2373.779201341821,0.00290899,733.95,1.0,-0.006459,2.1878123,0.0027936161,7.526311e-05,0.02924295087592623
2754.9593143038774,0.0035846555,859.65,0.6666666666666666,-0.0058631017,2.179782,0.0014813634,7.248429e-05,0.019961711427517653
2711.200094066746,0.0030023176,846.25,0.6666666666666666,-0.007797541,2.178557,0.004945355,7.272382e-05,0.02620500774717882
2706.0479272451876,0.003529894,849.75,0.6666666666666666,-0.0078043845,2.1718245,0.0046325657,7.1839204e-05,0.020374221931950084
2912.944544228975,0.0030708916,910.15,0.6666666666666666,-0.0061529903,2.1690276,0.004065636,7.179681e-05,0.01470178276940367
2687.5364475698893,0.0036102165,827.75,0.6666666666666666,-0.006958833,2.1603677,0.003467054,7.184047e-05,0.019408438084996604
2792.2759044766826,0.0033470928,862.0,0.6666666666666666,-0.00645566,2.1512997,0.003422922,6.926649e-05,0.018794284677137667
2850.6511288272172,0.0030421736,888.85,0.6666666666666666,-0.0070333434,2.1505804,0.0055817957,6.775373e-05,0.04015846824031576
3105.3239158318843,0.0035709778,977.9,1.0,-0.00809473,2.1560657,0.0060875067,6.307659e-05,0.0065776958192143836
2901.17639963495,0.003155441,886.85,1.0,-0.004926266,2.1510355,0.0015599881,6.320544e-05,0.014586942346076052
